1990vanithangalu0000kssp	1990 - വനിതകളും വ്യക്തിനിയമങ്ങളും	KSSP leaflets;KSSP Gender Books;Civil Code and Gender Bias	KSSP leaflets; KSSP Gender Books; Civil Code and Gender Bias
1992healthpolicy0000kssp	1992 - Health Policy for Kerala - Draft	KSSP leaflets;KSSP Health Books	KSSP leaflets; KSSP Health Books
1992kerathinuoru0000kssp	1992 - കേരളത്തിന് ഒരു ആരോഗ്യനയം - കരടുരേഖ	KSSP leaflets;KSSP Health Books	KSSP leaflets; KSSP Health Books
1992marunnukalud0000kssp	1992 - മരുന്നുകളുടെ വിലവർധനവും പുതിയ സാമ്പത്തിക നയങ്ങളും	KSSP leaflets;KSSP Health Books;Medicine Price Hike	KSSP leaflets; KSSP Health Books; Medicine Price Hike
1993samuhyasamra0000kssp	1993 - സാമൂഹ്യസംരക്ഷണ നിയമങ്ങളും സ്ത്രീകളും	KSSP leaflets;KSSP Gender Books;Gender Bias	KSSP leaflets; KSSP Gender Books; Gender Bias

1993sthreekalude0000para	1993 - സ്ത്രീകളുടെ ആരോഗ്യപ്രശ്നങ്ങൾ - ഡോ: സി.എൻ. പരമേശ്വരൻ	KSSP leaflets; Women's Health; KSSP Books about Health; KSSP books about women	KSSP leaflets; Women's Health; KSSP Books about Health; KSSP books about women
1993vanithasasth0000kssp	1993 - വനിതാ ശാസ്ത്രസംഗമം - കൈപുസ്തകം	KSSP leaflets;KSSP Gender Books;Gender Bias in Kerala	KSSP leaflets; KSSP Gender Books; Gender Bias in Kerala
1994elippaniyump0000kssp	1994 - എലിപ്പനിയും പ്ലേഗും	KSSP leaflets;KSSP Health Books;Leptospirosis;Plague	KSSP leaflets; KSSP Health Books; Leptospirosis; Plague
1994urjarekha0000unse	1994 - ഊർജ്ജരേഖ	KSSP leaflets;Power Problem of Kerala, KSSP Books about Power	KSSP leaflets; Power Problem of Kerala; KSSP Books about Power
1995arogyarangat0000kssp	1995 - ആരോഗ്യരംഗത്തെ പ്രശ്നങ്ങൾ	KSSP leaflets;KSSP Health Books	KSSP leaflets; KSSP Health Books
1995bhashasamska0000kssp	1995 - ജനകീയ വിദ്യാഭ്യാസ നിഷേധം കേരളത്തിൽ	KSSP leaflets;Kerala Public Education;KSSP Education Books	KSSP leaflets; Kerala Public Education; KSSP Education Books
1995bodhanamadhy0000kssp	1995 - ബോധന മാധ്യമം മാതൃഭാഷയിൽ	KSSP leaflets;Kerala Public Education;KSSP Education Books; Vidyabhyasa Jadha-95	KSSP leaflets; Kerala Public Education; KSSP Education Books; Vidyabhyasa Jadha-95
1995janakeeyvidy0000kssp	1995 - ജനകീയ വിദ്യാഭ്യാസ നിഷേധം കേരളത്തിൽ	KSSP leaflets;Kerala Public Education;KSSP Education Books;Vidyabhyasa Jadha-95	KSSP leaflets; Kerala Public Education; KSSP Education Books; Vidyabhyasa Jadha-95
1995keralavidyab0000kssp	1995 - കേരള വിദ്യാഭ്യാസരംഗം വഴിത്തിരിവിൽ	KSSP leaflets;Kerala Public Education, Vidyabhyasa Jadha-95	KSSP leaflets; Kerala Public Education; Vidyabhyasa Jadha-95
1995parishathuma0000kssp	1995 - പരിഷത്തും അക്കാദമിക രംഗത്തെ സമരവും	KSSP leaflets;Kerala Public Education;KSSP Education Books;KSSP and Education Debates	KSSP leaflets; Kerala Public Education; KSSP Education Books; KSSP and Education Debates
1995swashrayavid0000kssp	1995 - സ്വാശ്രയവിദ്യാഭ്യാസവും സാമൂഹിക നീതിയും	KSSP leaflets; Kerala Education; KSSP Books about Education; Vidyabhyasa Jadha-95	KSSP leaflets; Kerala Education; KSSP Books about Education; Vidyabhyasa Jadha-95
1995urjavivadamkssp	1995 - ഊർജവിവാദം പതിറ്റാണ്ടുകളിലൂടെ - ഒരു ചുമർപുസ്തകം	['Kerala Electricity', 'KSSP leaflets', 'Kerala Energy']	Kerala Electricity; KSSP leaflets; Kerala Energy
adhikaramjanangalkkufirstedn1989kssp	അധികാരം ജനങ്ങൾക്ക് - ഒന്നാം പതിപ്പ് - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	['Planning, evelopment', 'Kerala Archives']	Planning; evelopment; Kerala Archives
adhikaramjanangalkkusecondedn1989kssp	അധികാരം ജനങ്ങൾക്ക് - രണ്ടാം പതിപ്പ് - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	['Decentralization, Planning, Democracy', 'Kerala Archives']	Decentralization; Planning; Democracy; Kerala Archives
aksharajathaganangal1989kssp	അക്ഷരജാഥ - ഗാനങ്ങൾ സംഗീത ശില്പങ്ങൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Kala Jatha, Street Theatre	Kala Jatha; Street Theatre
aksharakalajatha1989kssp	അക്ഷര കലാജാഥ 89 - എറണാകുളം ജില്ല സമ്പൂർണ്ണ സാക്ഷരതായജ്ഞം	['Ernakulam District Total Literarcy Programme', 'Kerala Literacy']	Ernakulam District Total Literarcy Programme; Kerala Literacy
aksharam1989kssp	അക്ഷരം - അധ്യാപനസഹായി - എറണാകുളം ജില്ല സമ്പൂർണ്ണ സാക്ഷരതായജ്ഞം	Ernakulam District Total Literarcy Programme	Ernakulam District Total Literarcy Programme
aksharam1989mhrdgoi	അക്ഷരം - സാക്ഷരതാ പാഠാവലി - എറണാകുളം ജില്ല സമ്പൂർണ്ണ സാക്ഷരതായജ്ഞം	['Ernakulam District Total Literarcy Programme', 'Kerala Literacy']	Ernakulam District Total Literarcy Programme; Kerala Literacy
alamarayileswapnangal0000kssp	അലമാരയിലെ സ്വപ്നങ്ങൾ - നാടകങ്ങൾ - കിളിക്കൂട്ടം ജാഥാ സ്ക്രിപ്റ്റ് - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Kilikkkoottam Jadha, Street Theatre	Kilikkkoottam Jadha; Street Theatre
ammaparayunnu1992kssp	അമ്മ പറയുന്നു - നവോത്ഥാന ജാഥാസ്ക്രിപ്റ്റുകൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Street Theatre	Street Theatre
asthama0000kssp	ആസ്‌ത്‌മ - ഗ്രാമശാസ്ത്രജാഥ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Health Education, Asthma	Health Education; Asthma
aushadhavilavard0000ekba	ഔഷധ വിലവർധന എന്തുകൊണ്ട്? - ഡോ: ബി. ഇക്ബാൽ	KSSP leaflets;KSSP Health Books	KSSP leaflets; KSSP Health Books
ayesteeyes1989kssp	ഏയെസ് ടീയെസ് - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Kala Jatha, Street Theatre	Kala Jatha; Street Theatre
badalbudjet1993kssp	ബജറ്റും ബദൽ ബജറ്റും  – കേരള സ്വാശ്രയ സമിതി	['Economics, Badjet', 'Kerala Swashraya Samithy']	Economics; Badjet; Kerala Swashraya Samithy
balavedidinam1991kssp	ബാലവേദി ദിനം 1991 - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Balavedi, Science History	Balavedi; Science History
balikalathilekku1985kssp	ബലിക്കളത്തിലേക്ക് - ഗാനങ്ങൾ നാടകങ്ങൾ സംഗീതശില്പങ്ങൾ - ശാസ്ത്രകലാജാഥ 1985 - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Sasthra Kala Jatha, Street Theatre	Sasthra Kala Jatha; Street Theatre
balolasavajatha1986kssp	ചങ്ങലക്കണ്ണി - ബാലോത്സവജാഥ സ്ക്രിപ്റ്റുകൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Balalsava Jatha, Street Theatre	Balalsava Jatha; Street Theatre
balolsavam1987kssp	ബാലോത്സവപ്പാട്ടുകൾ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Balolsava Songs	Balolsava Songs
bruno1985kssp	ബ്രൂണോ - നാടകങ്ങൾ - ശാസ്ത്രകലാജാഥ 1985 - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Sasthra Kala Jatha, Street Theatre	Sasthra Kala Jatha; Street Theatre
cheruthumvaluthum1984kssp	ചെറുതിൽ ചെറുതും വലുതിൽ വലുതും - പി.ആർ. മാധവപ്പണിക്കർ - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	kssp-science books, P R Madhavappanikkar, Malayalam Physics Books	kssp-science books; P R Madhavappanikkar; Malayalam Physics Books
chithrangalktrvarma1979kssp	1979 - ചിത്രങ്ങളുടെ കഥ - കെ.ടി. രാമവർമ്മ	Painting, Art, History	Painting; Art; History
cvraman1982kssp	സി.വി. രാമൻ - ശാസ്ത്രപാഠാവലി - കേരള ശാസ്ത്രസാഹിത്യ പരിഷത്ത്	Science Education, Biography, C V Raman	Science Education; Biography; C V Raman
